,alpha,t_alpha,R2,n_obs,beta_MKT_excess,t_MKT_excess,beta_SMB_vw,t_SMB_vw,beta_HML_vw,t_HML_vw,beta_MOM,t_MOM
HRL,-0.001892822221761044,-0.3673534069557459,0.12721366694415437,131.0,0.17753136210155177,1.4628162406329166,1.302449775868572,3.6739392653482916,-0.2631479989278319,-1.3607079557351136,0.13310954136645314,0.8641946596200363
HSIC,-0.00381765321506438,-0.76402707118711,0.38812319744321044,131.0,0.8003628585744164,6.800481130746797,1.2250643279728255,3.5634273288418314,0.003279068594412519,0.017484506503953414,-0.08073722786707856,-0.5405230889020225
HST,-0.005797313241068055,-1.2169089543431113,0.5975932581580006,131.0,1.214307797362158,10.82182597451057,0.524362693411507,1.5997784663333963,0.5516062032701201,3.0849708702749594,-0.24294863383264,-1.705979964040493
HSY,0.0008595634823029117,0.18731092104124122,0.09100855469773572,131.0,0.2781988201230857,2.5738359857079325,0.6056701628583687,1.918306787634601,0.016414274708582203,0.09530099749621945,0.1025001585224473,0.7472016545329242
HUBB,0.0001585536271065853,0.03139376715652561,0.4426631067766277,131.0,1.0297521719020601,8.656461664869294,1.025723532204831,2.951850183742697,-0.14760302797477315,-0.7786694288671808,0.014754145332276699,0.0977258493224548
HUM,0.0033347157591311627,0.4654836114887669,0.15019872318227467,131.0,0.7575180506628373,4.489303855686355,0.24363689234208905,0.4942940307255006,0.26342274153275447,0.9796917360447852,0.3745588619988945,1.7490160515415238
IBKR,0.011106079614894017,1.6433327623979659,0.23654124160665901,131.0,0.845480606785807,5.3113977318630425,0.9557689754404723,2.055485424574017,0.3135702020075695,1.23620393920184,0.43952660700387913,2.175594973905268
IBM,-0.0025904882821960766,-0.5363821313419258,0.3705694972342163,131.0,0.8996167612209303,7.908436830886788,0.003900080288615348,0.011737158203034878,0.43599181293269285,2.4052576785973363,0.08268608467747576,0.5727343652388619
ICE,0.0009655765807545533,0.23507671258299068,0.4277195690991701,131.0,0.8742211537345433,9.036175102716543,0.24950826088282144,0.8828858476235618,-0.2036709469330444,-1.3211209320603252,0.015734240850437755,0.12814357143376812
IDXX,0.0008986343712045241,0.1498240064290091,0.462846230972099,131.0,1.08682363303755,7.693038333082498,1.9346996577924231,4.688227486882394,-0.8830305293118621,-3.922515836957142,0.038288689112873385,0.21354874502615567
IEX,-0.002311692456469532,-0.6693104310639103,0.6112151660546273,131.0,0.9925320112632426,12.200636898415407,0.9808011008203935,4.127387299640832,-0.1962378513019121,-1.5138084450438916,0.0134015445430166,0.1298017467741889
IFF,-0.005250918890842865,-0.9085678493700996,0.3934370138797739,131.0,1.0741056566335319,7.890590417019328,-0.012621606429720123,-0.03174193732815057,0.3626368734341998,1.6718011616179536,-0.1751397230330066,-1.0137593167255452
INCY,-0.007120987401025498,-0.8503341585234586,0.201379535893759,131.0,0.7599142536023227,3.85260461612564,1.9291669938346405,3.348235310352949,-0.38328049008130194,-1.2194295846173133,0.11818352364670429,0.47210052936652125
INTC,-0.006794148208329857,-0.9606138611842266,0.26015382931528086,131.0,0.9504350100942902,5.705276544779656,-0.3897395357896714,-0.8009124364575906,-0.13047696539849654,-0.49151670901621297,-0.4138024230102267,-1.9571990985393672
IP,-0.0030736331056585844,-0.6049731587598088,0.516304252805109,131.0,1.1231341424730574,9.385472747832159,0.18832455155380598,0.5387505969208769,0.570773683227646,2.9932199290229313,-0.21067764160425145,-1.3871731510116583
