,alpha,t_alpha,R2,n_obs,beta_MKT_excess,t_MKT_excess,beta_TENY_innov,t_TENY_innov,beta_CREDIT_innov,t_CREDIT_innov
CAG,-0.0044784138535106195,-0.7686318076545978,0.12215701884800878,131.0,0.7254562699569376,4.116594487155998,5.634274841621457,2.0235481642314244,8.77415515320429,2.1940439568746806
CCI,-0.0028348424323562673,-0.6396629644398297,0.4403435961927348,131.0,0.609240183806625,4.545101055505521,-12.842596180340552,-6.063962379888277,-0.030922570932308324,-0.010165851529749814
CI,0.0020992205589148247,0.3345350836996968,0.1969055446575304,131.0,0.9474497253317126,4.991976072507646,10.538003382043488,3.514174496171865,9.71247427178866,2.2550665714041767
CINF,0.003722540694378453,0.6666118510007095,0.18717075308361708,131.0,0.6288830495657677,3.723369929225343,0.6408453420196095,0.2401420412334913,-2.065490647003645,-0.5388931899610225
CL,-0.001909367726014501,-0.5393085762632135,0.27116553133765664,131.0,0.5262011477361579,4.913967296164756,-2.8711893878828394,-1.6970357021069236,1.0871110712051222,0.44737071779771387
CLX,0.001049404132628563,0.20788325795788481,0.16056248794109884,131.0,0.4577606737293273,2.9981126411628476,-5.389279837394341,-2.234029321455154,4.353992976550186,1.256638482106295
CMCSA,-0.004968336703555234,-1.079887341068286,0.4286102628596482,131.0,0.9446751206011414,6.788637663109547,-3.2837160078081014,-1.4935315792925439,-1.3688036742623022,-0.433465441686433
CME,0.005107931563336152,1.1251562804594315,0.1305772659022979,131.0,0.4120205847434769,3.0006781403123206,0.9509502005824335,0.4383358008443366,-1.37835446537721,-0.4423587099472107
CMI,-0.0005381549432405462,-0.10882514590380177,0.4300960388439288,131.0,1.076471890917661,7.197096730153771,3.098471096560437,1.3111451210572835,-1.0988683686700391,-0.32375276262555375
CMS,0.004684098355653425,1.1776708946422774,0.21452127044981428,131.0,0.21350086834755472,1.7747218793398325,-8.181420257069046,-4.3043544571144965,-1.6669068736651862,-0.6105976944849538
COO,0.0021524179328405533,0.4289704947482318,0.3868987022850311,131.0,0.8224372755651141,5.419214325938929,-7.742663633960548,-3.2290338838154002,-2.2205535378018117,-0.644774651073021
COP,-0.0009496472749423547,-0.12682648063339436,0.38028028611378406,131.0,0.9041551000662709,3.9923009561570644,10.25641247308966,2.8663187373600443,-13.286623888325622,-2.58528331138035
COST,0.008383427929685794,2.1591473313135783,0.4481494702828699,131.0,0.9245364143414053,7.872585490023594,-3.6057369786255835,-1.9432831106915556,4.700107647927133,1.7636578428763836
CPAY,0.0039644980473566745,0.664817302548159,0.42858222810514823,131.0,0.8306545321702488,4.6053990405231255,-4.931622827849077,-1.730554773036345,-14.105273022142253,-3.4462080209751598
CPRT,0.012034956011384644,2.282160105407819,0.43618533974230056,131.0,1.100165449282636,6.897509785721765,-4.0087394179186635,-1.5907092926306814,-1.4430829533599652,-0.3986931600483082
CSCO,-0.0019140079358592995,-0.4083432835736463,0.39792489368403194,131.0,1.17919516533798,8.317639512987185,4.709026455399679,2.1022976392875483,8.132171846871788,2.5277499855239953
CSGP,0.004280863245418246,0.7241967514715322,0.3106949082387803,131.0,0.9469964329593187,5.296711064400174,-2.668556381622547,-0.9446762367984028,-1.488299381571558,-0.3668270944732783
CSX,0.0007692437908800246,0.15857846364752845,0.4913155864475476,131.0,1.1833344579870233,8.065298384111443,1.479357088024672,0.6381673972327507,-1.5738360645078935,-0.4726999822779431
